"MessageNumber","ProcessId","ThreadId","Level","ActivityId","LevelDisplayName","Timestamp","EventID","Summary","Module","Channel","ProviderName","Version","OpcodeDisplayName","EventData"
"129","476","1828","0","nothing","정보","2015-03-22T23:38:15.8880898","4647","사용자가 로그오프를 시작했습니다.

주체:
	보안 ID:		S-1-5-21-2425377081-3129163575-2985601102-1000
	계정 이름:		informant
	계정 도메인:		informant-PC
	로그온 ID:		0x3db0a

이 이벤트는 로그오프가 시작될 때 생성됩니다. 사용자가 시작한 동작은 더 이상 수행될 수 없습니다. 이 이벤트는 로그오프 이벤트로 해석될 수 있습니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{TargetUserSid=S-1-5-21-2425377081-3129163575-2985601102-1000,TargetUserName=informant,TargetDomainName=informant-PC,TargetLogonId=252682}",
"120","476","1828","0","nothing","정보","2015-03-22T23:34:24.7178553","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		WIN-D9RGPJQ68G8$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			5

새 로그온:
	보안 ID:		S-1-5-18
	계정 이름:		SYSTEM
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e7
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x1c4
	프로세스 이름:		C:\Windows\System32\services.exe

네트워크 정보:
	워크스테이션 이름:	
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		Advapi  
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=WIN-D9RGPJQ68G8$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-18,TargetUserName=SYSTEM,TargetDomainName=NT AUTHORITY,TargetLogonId=999,LogonType=5,LogonProcessName=Advapi  ,AuthenticationPackageName=Negotiate,WorkstationName=,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=452,ProcessName=C:\Windows\System32\services.exe,IpAddress=-,IpPort=-}",
"123","476","796","0","nothing","정보","2015-03-22T23:34:28.9222890","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		WIN-D9RGPJQ68G8$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			2

새 로그온:
	보안 ID:		S-1-5-21-2425377081-3129163575-2985601102-1000
	계정 이름:		informant
	계정 도메인:		informant-PC
	로그온 ID:		0x3be29
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x194
	프로세스 이름:		C:\Windows\System32\winlogon.exe

네트워크 정보:
	워크스테이션 이름:	WIN-D9RGPJQ68G8
	원본 네트워크 주소:	127.0.0.1
	원본 포트:		0

인증 세부 정보:
	로그온 프로세스:		User32 
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=WIN-D9RGPJQ68G8$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-21-2425377081-3129163575-2985601102-1000,TargetUserName=informant,TargetDomainName=informant-PC,TargetLogonId=245289,LogonType=2,LogonProcessName=User32 ,AuthenticationPackageName=Negotiate,WorkstationName=WIN-D9RGPJQ68G8,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=404,ProcessName=C:\Windows\System32\winlogon.exe,IpAddress=127.0.0.1,IpPort=0}",
"124","476","796","0","nothing","정보","2015-03-22T23:34:28.9222890","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		WIN-D9RGPJQ68G8$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			2

새 로그온:
	보안 ID:		S-1-5-21-2425377081-3129163575-2985601102-1000
	계정 이름:		informant
	계정 도메인:		informant-PC
	로그온 ID:		0x3db0a
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x194
	프로세스 이름:		C:\Windows\System32\winlogon.exe

네트워크 정보:
	워크스테이션 이름:	WIN-D9RGPJQ68G8
	원본 네트워크 주소:	127.0.0.1
	원본 포트:		0

인증 세부 정보:
	로그온 프로세스:		User32 
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=WIN-D9RGPJQ68G8$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-21-2425377081-3129163575-2985601102-1000,TargetUserName=informant,TargetDomainName=informant-PC,TargetLogonId=252682,LogonType=2,LogonProcessName=User32 ,AuthenticationPackageName=Negotiate,WorkstationName=WIN-D9RGPJQ68G8,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=404,ProcessName=C:\Windows\System32\winlogon.exe,IpAddress=127.0.0.1,IpPort=0}",
"126","476","748","0","nothing","정보","2015-03-22T23:34:49.5299252","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		WIN-D9RGPJQ68G8$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			5

새 로그온:
	보안 ID:		S-1-5-18
	계정 이름:		SYSTEM
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e7
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x1c4
	프로세스 이름:		C:\Windows\System32\services.exe

네트워크 정보:
	워크스테이션 이름:	
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		Advapi  
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=WIN-D9RGPJQ68G8$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-18,TargetUserName=SYSTEM,TargetDomainName=NT AUTHORITY,TargetLogonId=999,LogonType=5,LogonProcessName=Advapi  ,AuthenticationPackageName=Negotiate,WorkstationName=,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=452,ProcessName=C:\Windows\System32\services.exe,IpAddress=-,IpPort=-}",
"130","456","460","0","nothing","정보","2015-03-22T23:51:14.0392255","4608","Windows를 시작하고 있습니다.

이 이벤트는 LSASS.EXE가 시작되고 감사 하위 시스템이 초기화될 때 기록됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{}",
"131","456","460","0","nothing","정보","2015-03-22T23:51:14.0860256","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-0-0
	계정 이름:		-
	계정 도메인:		-
	로그온 ID:		0x0

로그온 유형:			0

새 로그온:
	보안 ID:		S-1-5-18
	계정 이름:		SYSTEM
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e7
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x4
	프로세스 이름:		

네트워크 정보:
	워크스테이션 이름:	-
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		-
	인증 패키지:	-
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-0-0,SubjectUserName=-,SubjectDomainName=-,SubjectLogonId=0,TargetUserSid=S-1-5-18,TargetUserName=SYSTEM,TargetDomainName=NT AUTHORITY,TargetLogonId=999,LogonType=0,LogonProcessName=-,AuthenticationPackageName=-,WorkstationName=-,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=4,ProcessName=,IpAddress=-,IpPort=-}",
"133","456","520","0","nothing","정보","2015-03-22T23:51:15.1936276","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		INFORMANT-PC$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			5

새 로그온:
	보안 ID:		S-1-5-18
	계정 이름:		SYSTEM
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e7
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x1c0
	프로세스 이름:		C:\Windows\System32\services.exe

네트워크 정보:
	워크스테이션 이름:	
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		Advapi  
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=INFORMANT-PC$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-18,TargetUserName=SYSTEM,TargetDomainName=NT AUTHORITY,TargetLogonId=999,LogonType=5,LogonProcessName=Advapi  ,AuthenticationPackageName=Negotiate,WorkstationName=,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=448,ProcessName=C:\Windows\System32\services.exe,IpAddress=-,IpPort=-}",
"135","456","520","0","nothing","정보","2015-03-22T23:51:15.6928284","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		INFORMANT-PC$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			5

새 로그온:
	보안 ID:		S-1-5-20
	계정 이름:		NETWORK SERVICE
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e4
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x1c0
	프로세스 이름:		C:\Windows\System32\services.exe

네트워크 정보:
	워크스테이션 이름:	
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		Advapi  
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=INFORMANT-PC$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-20,TargetUserName=NETWORK SERVICE,TargetDomainName=NT AUTHORITY,TargetLogonId=996,LogonType=5,LogonProcessName=Advapi  ,AuthenticationPackageName=Negotiate,WorkstationName=,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=448,ProcessName=C:\Windows\System32\services.exe,IpAddress=-,IpPort=-}",
"137","456","520","0","nothing","정보","2015-03-22T23:51:16.2076293","4624","계정이 성공적으로 로그온되었습니다.

주체:
	보안 ID:		S-1-5-18
	계정 이름:		INFORMANT-PC$
	계정 도메인:		WORKGROUP
	로그온 ID:		0x3e7

로그온 유형:			5

새 로그온:
	보안 ID:		S-1-5-19
	계정 이름:		LOCAL SERVICE
	계정 도메인:		NT AUTHORITY
	로그온 ID:		0x3e5
	로그온 GUID:		{00000000-0000-0000-0000-000000000000}

프로세스 정보:
	프로세스 ID:		0x1c0
	프로세스 이름:		C:\Windows\System32\services.exe

네트워크 정보:
	워크스테이션 이름:	
	원본 네트워크 주소:	-
	원본 포트:		-

인증 세부 정보:
	로그온 프로세스:		Advapi  
	인증 패키지:	Negotiate
	전송된 서비스:	-
	패키지 이름(NTLM 전용):	-
	키 길이:		0

이 이벤트는 로그온 세션이 만들어질 때 액세스했던 컴퓨터에 생성됩니다.

주체 필드는 로그온을 요청한 로컬 시스템의 계정을 나타냅니다. 이것은 주로 서버 서비스와 같은 서비스 또는 Winlogon.exe나 Services.exe와 같은 로컬 프로세스입니다.

로그온 유형 필드는 발생된 로그온의 종류를 나타냅니다. 가장 일반적인 유형은 2(대화식)와 3(네트워크)입니다.

새 로그온 필드는 새 로그온을 만든 계정, 즉 로그온되었던 계정을 나타냅니다.

네트워크 필드는 원격 로그온 요청이 시작된 위치를 나타냅니다. 워크스테이션 이름은 항상 사용할 수 있는 것은 아니며 어떤 경우에는 비워 둘 수 있습니다.

인증 정보 필드는 이 특정 로그온 요청에 대한 자세한 정보를 제공합니다.
	- 로그온 GUID는 이 이벤트를 KDC 이벤트와 연관시키는 데 사용할 수 있는 고유 식별자입니다.
	 - 전송된 서비스는 이 로그온 요청과 관련된 중간 서비스를 나타냅니다.
	 - 패키지 이름은 NTLM 프로토콜 간에 사용된 하위 프로토콜을 나타냅니다.
	 - 키 길이는 생성된 세션 키의 길이를 나타냅니다. 이 값은 요청된 세션 키가 없는 경우 0이 됩니다.","EventLog","Security","Microsoft-Windows-Security-Auditing","0","정보","map{SubjectUserSid=S-1-5-18,SubjectUserName=INFORMANT-PC$,SubjectDomainName=WORKGROUP,SubjectLogonId=999,TargetUserSid=S-1-5-19,TargetUserName=LOCAL SERVICE,TargetDomainName=NT AUTHORITY,TargetLogonId=997,LogonType=5,LogonProcessName=Advapi  ,AuthenticationPackageName=Negotiate,WorkstationName=,LogonGuid=00000000-0000-0000-0000-000000000000,TransmittedServices=-,LmPackageName=-,KeyLength=0,ProcessId=448,ProcessName=C:\Windows\System32\services.exe,IpAddress=-,IpPort=-}",
